startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation,
-500000,1,1,,,,12030,マクロス世界,2,1,プロトカルチャー暦（P.C.）元年。,,,,,
-497400,1,1,,,,12030,マクロス世界,2,1,宇宙移民開始 巨人種族ゼントラーディ人が開発 (P.C2600),,,,,
-497200,1,1,,,,12030,マクロス世界,2,2,星間共和国を統一(P.C.2800),,,,,
-497140,1,1,,,,12030,マクロス世界,2,3,星間共和国を二分する内乱が勃発(P.C.2860),,,,,
-497130,1,1,,,,12030,マクロス世界,2,4,調査船が地球を発見　原住生物(後の人類)を遺伝子改造(P.C.2870),,,,,
-497125,1,1,,,,12030,マクロス世界,2,1,プロトデビルン戦の被害およびゼントラーディ人の暴走により星間共和国崩壊(P.C.2875),,,,,
-472400,1,1,,,,12030,マクロス世界,2,1,プロトカルチャーほぼ全滅。ゼントラーディ軍と監察軍（プロトデビルンの洗脳兵）は主を失ったまま、闘争本能に従い抗争を続ける。,,,,,
1999,7,1,2008,9,1,12030,マクロス世界,2,4,マクロス0,#0070C0,,,,
1999,7,1,,,,12030,マクロス世界,2,2,巨大物体(ASS-1)が太平洋上の南アタリア島に落下,,,,,
2000,7,1,2008,12,1,12030,マクロス世界,2,1,統合戦争,,,,,
2001,1,1,,,,12030,マクロス世界,2,3,地球統合政府および地球統合軍が発足,,,,,
2004,12,1,,,,12030,マクロス世界,2,2,試作可変戦闘機VF-0フェニックス1号機完成,,,,,
2005,9,1,,,,12030,マクロス世界,2,3,反統合勢力の攻撃で、火星サラ基地撤収船団が全滅,,,,,
2008,9,1,,,,12030,マクロス世界,2,3,マヤン島近海底でプロトカルチャーの遺物『鳥の人』発見,,,,,
2009,2,1,2012,9,1,12030,マクロス世界,2,4,マクロス　TV/映画,#0070C0,,,,
2009,2,1,2010,2,1,12030,マクロス世界,2,1,第一次星間戦争,,,,,
2009,2,1,,,,12030,マクロス世界,2,2,マクロス進宙式　ゼントラーディ艦撃沈,,,,,
2010,2,1,,,,12030,マクロス世界,2,3,ボドル基幹艦隊にマクロス・ブリタイ同盟が勝利　地球人類はほぼ全滅。,,,,,
2012,1,1,,,,12030,マクロス世界,2,2,カムジン一派がマクロス・シティを急襲,,,,,
2012,9,1,,,,12030,マクロス世界,2,3,メガロード-01出航(第一次超長距離移民船団),,,,,
2013,11,1,,,,12030,マクロス世界,2,1,惑星エデン発見　移民開始,,,,,
2016,1,1,,,,12030,マクロス世界,2,3,メガロード-01消息を断つ,,,,,
2025,1,1,,,,12030,マクロス世界,2,3,メガロード-13　バロータ星系に移民開始,,,,,
2038,1,1,,,,12030,マクロス世界,2,3,新マクロス級7番艦（第37次超長距離移民船団）出航,,,,,
2039,1,1,2040,1,1,12030,マクロス世界,2,4,マクロスプラス,#0070C0,,,,
2040,1,1,,,,12030,マクロス世界,2,1,YF-19とYF-21の採用コンペティション（スーパーノヴァ計画）,,,,,
2040,1,1,,,,12030,マクロス世界,2,2,人工知能が暴走(シャロン・アップル事件),,,,,
2043,1,1,2046,2,1,12030,マクロス世界,2,4,マクロス7,#0070C0,,,,
2045,3,1,,,,12030,マクロス世界,2,1,マクロス7船団、バロータ軍に襲撃される(バロータ戦役),,,,,
2046,2,1,,,,12030,マクロス世界,2,2,プロトデビルン　銀河を去る,,,,,
2048,1,1,2059,9,1,12030,マクロス世界,2,4,マクロスF,#0070C0,,,,
2048,1,1,,,,12030,マクロス世界,2,3,第117次大規模調査船団が異星生命体バジュラに襲われ壊滅,,,,,
2059,3,1,,,,12030,マクロス世界,2,2,フロンティア船団にシェリル・ノームが来訪　同船団をバジュラが襲う(バジュラ戦役),,,,,
2059,9,1,,,,12030,マクロス世界,2,3,ギャラクシー船団と交戦し勝利　バジュラ本星に入植,,,,,
2060,1,1,2067,1,1,12030,マクロス世界,2,4,マクロスΔ,#0070C0,,,,
2060,1,1,,,,12030,マクロス世界,2,1,ウィンダミア第一次独立戦争,,,,,
2067,1,1,,,,12030,マクロス世界,2,1,惑星アル・シャハルにウィンダミア軍が奇襲,,,,,
2067,1,1,,,,12030,マクロス世界,2,2,ウィンダミア軍が惑星ラグナを含む球状星団全体を支配,,,,,
2067,1,1,,,,12030,マクロス世界,2,3,ケイオス側とウィンダミア軍の一部によりラグナ開放　ウィンダミア軍撤退,,,,,
-500000,1,1,-472400,1,1,12030,マクロス世界,1,,プロトカルチャー文明,#736565,,,,
-5000,1,1,2068,1,1,12030,マクロス世界,1,,人類(有史),#9DBF21,,,,
