startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation
1955,1,1,,,,90003,日本花子,2,,誕生,,,,
1961,1,1,,,,90003,日本花子,2,,小学校入学(6歳),,,,
1967,1,1,,,,90003,日本花子,2,,中学校入学(12歳),,,,
1970,1,1,,,,90003,日本花子,2,,高校入学(15歳),,,,
1973,1,1,,,,90003,日本花子,2,,大学入学(18歳),,,,
1977,1,1,,,,90003,日本花子,2,,大学卒業・就職(22歳),,,,
1985,1,1,,,,90003,日本花子,2,,結婚(30歳),,,,
1986,1,1,,,,90003,日本花子,2,,第一子出産(31歳),,,,
2003,1,1,,,,90003,日本花子,2,,この頃子ども成人(48歳),,,,
2015,1,1,,,,90003,日本花子,2,,定年・再雇用(60歳),,,,
2025,1,1,,,,90003,日本花子,2,,引退(70歳),,,,
2043,1,1,,,,90003,日本花子,2,,平均寿命(87歳),,,,
1955,1,1,2043,1,1,90003,日本花子,1,,日本花子,#3C7D22,,,
