startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation
1955,1,1,,,,90002,日本太郎,2,,誕生,,,,
1961,1,1,,,,90002,日本太郎,2,,小学校入学(6歳),,,,
1967,1,1,,,,90002,日本太郎,2,,中学校入学(12歳),,,,
1970,1,1,,,,90002,日本太郎,2,,高校入学(15歳),,,,
1973,1,1,,,,90002,日本太郎,2,,大学入学(18歳),,,,
1977,1,1,,,,90002,日本太郎,2,,大学卒業・就職(22歳),,,,
1986,1,1,,,,90002,日本太郎,2,,結婚(31歳),,,,
1988,1,1,,,,90002,日本太郎,2,,第一子誕生(33歳),,,,
2005,1,1,,,,90002,日本太郎,2,,この頃子ども成人(50歳),,,,
2015,1,1,,,,90002,日本太郎,2,,定年・再雇用(60歳),,,,
2025,1,1,,,,90002,日本太郎,2,,引退(70歳),,,,
2036,1,1,,,,90002,日本太郎,2,,平均寿命(81歳),,,,
1955,1,1,2036,1,1,90002,日本太郎,1,,日本太郎,#3C7D22,,,
